Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Cote d'Ivoire;CIV;131090000;169291000;156085000;169777000;235403000;236335000;254362000;263517000;307187000;333428000;387815000;400368000;454164000;709979000;968523000;1127040000;1296380000;1756200000;2325560000;2491490000;2967000000;2382000000;2180000000;1839000000;1496000000;1749000000;2055000000;2370000000;2079000000;2111000000;2097000000;2103000000;2352000000;2115000000;1917000000;2931000000;2902000000;2781000000;2991000000;3252000000;2482190848;2547863503;2599007488;3279000000;4714732603;5864962365;5820429127;6683117000;7883679000;6959934000;7849331000;6680000000;
Croatia;HRV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4500000000;4666000000;5229000000;7352000000;7783830000;9101490000;8275580000;7799000000;7887000000;9147000000;10722000000;14209000000;16589200000;18560000000;21502000000;25838828000;30728437000;21202600000;20050500000;20397000000;
Cuba;CUB;638000000;703000000;759000000;867000000;1019000000;866000000;926000000;999000000;1102000000;1222000000;1311000000;1387000000;1292000000;1793000000;2648000000;3883000000;4066000000;4700000000;4780000000;5085000000;6505000000;6545000000;6637000000;7211000000;8167000000;7983000000;9173000000;7612000000;7579000000;7526000000;4600000000;2600000000;1500000000;1500000000;2055000000;2825000000;3205000000;3987000000;4197000000;4365000000;4843000000;4839000000;4176000000;4673200000;5615200000;8084336000;10258019000;10885841000;15373258000;9618749325;11498865968;14300000000;
Curacao;CUW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;CYP;103810000;107330000;125868000;131995000;105325000;143940000;155030000;164545000;170265000;207509000;235749000;260315000;316694000;450605000;406683000;308016000;432143000;622868000;757960000;1009850000;1202000000;1166000000;1223000000;1219000000;1364000000;1247000000;1272000000;1484000000;1859000000;2288000000;2568000000;2620000000;3313000000;2533000000;3017000000;3690000000;3979000000;3655000000;3685000000;3618000000;3846000000;3923000000;4086000000;4466000000;5501539019;6315831379;6927964003;8614705957;10643444200;7835149520;8569059660;8586969600;
Czech Republic;CZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12880000000;14615000000;17310000000;25085000000;27800000000;27105000000;28340000000;28463293467;31974285316;36297415539;40656355926;51727625170;69967455458;76511923405;93190661448;1.18169E+11;1.42038E+11;1.05048E+11;1.26652E+11;1.51466E+11;
Denmark;DNK;1806970000;1873280000;2129970000;2128520000;2617000000;2822730000;3002690000;3153390000;3236270000;3813070000;4407200000;4607650000;5087440000;7801840000;9926530000;10368300000;12426600000;13265100000;14808400000;18401400000;19340000000;17580000000;16692000000;16266000000;16613000000;18245000000;22878000000;25499000000;27228000000;28015000000;33333000000;34190000000;35714000000;31309000000;36691000000;45939000000;45291000000;44902000000;46872523000;45753398346;45557145403;45321783637;50320237027;57428562746;68156821945;75581155072;85506856649;98026770627;1.09362E+11;83132869600;84878340210;97771574400;
Djibouti;DJI;33000000;38000000;37000000;48000000;41000000;42000000;46000000;30000000;35000000;34000000;31000000;39000000;49000000;68000000;117000000;146000000;120000000;104000000;158000000;177000000;213000000;224000000;226000000;221000000;222000000;201000000;184000000;205000000;201000000;197000000;215000000;214000000;219000000;211000000;196400000;176700000;172200000;176000000;195500000;193800000;206500000;196000000;197062000;238233000;261359000;277316693;335717000;473231000;573597000;450712000;363761176.2;420000000;
Dominica;DMA;5812320;6169900;7412980;6955650;8727810;10028600;9884560;9784850;10048500;12356500;15757000;16719600;17113600;16482600;18954500;20755900;19058600;21881900;28433300;22211100;48000000;50000000;48000000;45000000;58000000;55000000;56000000;66000000;88000000;107000000;118000000;110000000;105000000;94000000;96000000;117000000;129000000;124000000;136000000;141000000;148000000;131000000;116000000;127948000;144411000;165342000;166896000;195734000;247019000;222156000;224597000;230000000;
Dominican Republic;DOM;100050000;79925000;148465000;184299000;221237000;97148800;181498000;197259000;222463000;246350000;304152000;357765000;388355000;489404000;807600000;888605000;878140000;974970000;986936000;1212790000;1964000000;1951000000;1693000000;1699000000;1645000000;1787000000;2009000000;2419000000;2630000000;3216000000;3006000000;3054000000;3859000000;4654000000;4903000000;5170000000;5727000000;6609000000;7597000000;8041000000;9479000000;8779000000;8838000000;7627000000;7888000000;9869000000;12173900000;13597000000;15992900000;12295900000;15298900000;17600000000;
